ID,Date_start_contract,Date_last_renewal,Date_next_renewal,Date_birth,Date_driving_licence,Distribution_channel,Seniority,Policies_in_force,Max_policies,Max_products,Lapse,Date_lapse,Payment,Premium,Cost_claims_year,N_claims_year,N_claims_history,R_Claims_history,Type_risk,Area,Second_driver_flag,Year_matriculation,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Length,Weight,Age
234,2006-02-10,2016-02-10,2017-02-10,1949-12-09,1969-06-18,0,15,2,2,1,0,2018-02-10,0,244.98,0,0,12,0.5,3,0,No,2004,75,1686,16370.0,5,P,4.249,1275,75.62217659137578
234,2006-02-10,2018-02-10,2019-02-10,1949-12-09,1969-06-18,0,15,2,2,1,2,2018-02-10,0,229.49,0,0,12,0.5,3,0,No,2004,75,1686,16370.0,5,P,4.249,1275,75.62217659137578
236,2008-08-13,2016-08-13,2017-08-13,1953-10-19,1971-10-24,0,9,1,2,2,1,2016-08-13,0,342.71,0,0,2,0.25,2,1,No,2000,122,2148,22562.0,4,D,4.66,1630,71.76180698151951
237,2004-11-05,2017-11-05,2018-11-05,1960-03-17,1980-07-14,0,15,2,2,1,1,2017-11-05,0,270.06,0,0,2,0.15,3,0,No,1999,100,1596,14123.78,3,P,4.174,1189,65.35249828884326
237,2004-11-05,2015-11-05,2016-11-05,1960-03-17,1980-07-14,0,15,1,2,1,0,2017-11-05,0,266.2,0,0,2,0.15,3,0,No,1999,100,1596,14123.78,3,P,4.174,1189,65.35249828884326
237,2004-11-05,2016-11-05,2017-11-05,1960-03-17,1980-07-14,0,15,1,2,1,0,2017-11-05,0,274.18,0,0,2,0.15,3,0,No,1999,100,1596,14123.78,3,P,4.174,1189,65.35249828884326
239,2013-09-25,2016-09-25,2017-09-25,1960-10-10,1993-04-01,0,4,1,2,1,1,2016-09-25,0,286.35,0,0,5,0.0,3,1,No,2009,117,1598,20000.0,5,P,4.33,1297,64.78576317590691
249,2014-11-25,2016-11-25,2017-11-25,1972-04-06,1991-07-16,1,3,1,1,1,1,2016-11-25,0,292.73,0,0,2,1.0,2,0,No,2001,68,1896,16341.52,4,D,4.707,1505,53.29774127310061
250,2002-10-19,2016-10-19,2017-10-19,1944-04-29,1973-06-23,0,16,1,2,1,0,2017-10-19,0,283.98,0,0,3,0.2,2,0,No,2002,60,1769,11076.65,3,D,3.995,945,81.23477070499658
250,2002-10-19,2017-10-19,2018-10-19,1944-04-29,1973-06-23,0,16,1,2,1,1,2017-10-19,0,283.98,0,0,3,0.2,2,0,No,2002,60,1769,11076.65,3,D,3.995,945,81.23477070499658
